ptbxl_plus_feature,base_feature,location,summary_statistic,derivability,ecgdeli_source,requires_exact_ptbxl_plus_rule,notes
PQ_Int_I,PQ_Int,I,mean,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_I_iqr,PQ_Int,I,iqr,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_I_count,PQ_Int,I,count,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_II,PQ_Int,II,mean,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_II_iqr,PQ_Int,II,iqr,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_II_count,PQ_Int,II,count,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_III,PQ_Int,III,mean,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_III_iqr,PQ_Int,III,iqr,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_III_count,PQ_Int,III,count,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_V1,PQ_Int,V1,mean,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_V1_iqr,PQ_Int,V1,iqr,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_V1_count,PQ_Int,V1,count,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
PQ_Int_V2,PQ_Int,V2,mean,direct_ecgdeli,"Timing_feature_12leads(:,:,4)",True,Appears derivable from ECGdeli interval: PQ interval; exact filtering and aggregation must still match PTB-XL+.
