feature,missing_count,missing_rate,dtype,kept_for_modeling,drop_reason
P_Morph_V1_iqr,8559,0.3926326895729162,float64,True,
P_Morph_V4_iqr,8559,0.3926326895729162,float64,True,
P_Morph_I_iqr,8559,0.3926326895729162,float64,True,
P_Morph_II,8559,0.3926326895729162,float64,True,
P_Morph_II_iqr,8559,0.3926326895729162,float64,True,
P_Morph_III,8559,0.3926326895729162,float64,True,
P_Morph_III_iqr,8559,0.3926326895729162,float64,True,
P_Morph_V1,8559,0.3926326895729162,float64,True,
P_Morph_V2,8559,0.3926326895729162,float64,True,
P_Morph_V2_iqr,8559,0.3926326895729162,float64,True,
P_Morph_V3_iqr,8559,0.3926326895729162,float64,True,
P_Morph_V4,8559,0.3926326895729162,float64,True,
P_Morph_V3,8559,0.3926326895729162,float64,True,
P_Morph_V5,8559,0.3926326895729162,float64,True,
P_Morph_V5_iqr,8559,0.3926326895729162,float64,True,
P_Morph_aVR_iqr,8559,0.3926326895729162,float64,True,
P_Morph_aVR,8559,0.3926326895729162,float64,True,
P_Morph_aVL_iqr,8559,0.3926326895729162,float64,True,
P_Morph_aVL,8559,0.3926326895729162,float64,True,
P_Morph_aVF_iqr,8559,0.3926326895729162,float64,True,
P_Morph_I,8559,0.3926326895729162,float64,True,
P_Morph_aVF,8559,0.3926326895729162,float64,True,
P_Morph_V6_iqr,8559,0.3926326895729162,float64,True,
P_Morph_V6,8559,0.3926326895729162,float64,True,
ST_Elev_I,3379,0.15500711041790907,float64,True,
ST_Elev_V4,3379,0.15500711041790907,float64,True,
ST_Elev_V3,3379,0.15500711041790907,float64,True,
ST_Elev_I_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_II,3379,0.15500711041790907,float64,True,
ST_Elev_V3_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_aVR_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_II_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_III,3379,0.15500711041790907,float64,True,
ST_Elev_III_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_V2_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_V5,3379,0.15500711041790907,float64,True,
ST_Elev_V1,3379,0.15500711041790907,float64,True,
ST_Elev_V4_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_aVL,3379,0.15500711041790907,float64,True,
ST_Elev_V5_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_V6,3379,0.15500711041790907,float64,True,
ST_Elev_V6_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_aVF,3379,0.15500711041790907,float64,True,
ST_Elev_aVF_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_V2,3379,0.15500711041790907,float64,True,
ST_Elev_aVL_iqr,3379,0.15500711041790907,float64,True,
ST_Elev_aVR,3379,0.15500711041790907,float64,True,
ST_Elev_V1_iqr,3379,0.15500711041790907,float64,True,
R_Amp_V4,1,4.587366392953805e-05,float64,True,
P_Amp_V6_iqr,1,4.587366392953805e-05,float64,True,
P_Amp_V6,1,4.587366392953805e-05,float64,True,
P_Amp_V5_iqr,1,4.587366392953805e-05,float64,True,
P_Amp_V5,1,4.587366392953805e-05,float64,True,
R_Amp_V4_iqr,1,4.587366392953805e-05,float64,True,
P_Amp_V4_iqr,1,4.587366392953805e-05,float64,True,
S_Amp_V6_iqr,1,4.587366392953805e-05,float64,True,
R_Amp_V5,1,4.587366392953805e-05,float64,True,
R_Amp_V5_iqr,1,4.587366392953805e-05,float64,True,
S_Amp_V4,1,4.587366392953805e-05,float64,True,
S_Amp_V4_iqr,1,4.587366392953805e-05,float64,True,
Q_Amp_V4,1,4.587366392953805e-05,float64,True,
S_Amp_V5,1,4.587366392953805e-05,float64,True,
S_Amp_V5_iqr,1,4.587366392953805e-05,float64,True,
Q_Amp_V4_iqr,1,4.587366392953805e-05,float64,True,
S_Amp_V6,1,4.587366392953805e-05,float64,True,
Q_Amp_V5,1,4.587366392953805e-05,float64,True,
Q_Amp_V5_iqr,1,4.587366392953805e-05,float64,True,
Q_Amp_V6,1,4.587366392953805e-05,float64,True,
Q_Amp_V6_iqr,1,4.587366392953805e-05,float64,True,
R_Amp_V6_iqr,1,4.587366392953805e-05,float64,True,
P_DurFull_V6_iqr,1,4.587366392953805e-05,float64,True,
QRS_Dur_V4,1,4.587366392953805e-05,float64,True,
R_Amp_V6,1,4.587366392953805e-05,float64,True,
P_DurFull_V5_iqr,1,4.587366392953805e-05,float64,True,
P_DurFull_V5,1,4.587366392953805e-05,float64,True,
P_DurFull_V4_iqr,1,4.587366392953805e-05,float64,True,
P_DurFull_V4,1,4.587366392953805e-05,float64,True,
P_DurFull_V6,1,4.587366392953805e-05,float64,True,
P_Amp_V4,1,4.587366392953805e-05,float64,True,
QRS_Dur_V4_iqr,1,4.587366392953805e-05,float64,True,
PR_Int_V6_iqr,1,4.587366392953805e-05,float64,True,
PR_Int_V5_iqr,1,4.587366392953805e-05,float64,True,
PR_Int_V5,1,4.587366392953805e-05,float64,True,
PR_Int_V4_iqr,1,4.587366392953805e-05,float64,True,
PR_Int_V4,1,4.587366392953805e-05,float64,True,
QT_Int_V6_iqr,1,4.587366392953805e-05,float64,True,
QT_Int_V6,1,4.587366392953805e-05,float64,True,
QT_Int_V5_iqr,1,4.587366392953805e-05,float64,True,
QT_Int_V5,1,4.587366392953805e-05,float64,True,
QT_Int_V4,1,4.587366392953805e-05,float64,True,
T_DurFull_V4,1,4.587366392953805e-05,float64,True,
T_DurFull_V4_iqr,1,4.587366392953805e-05,float64,True,
T_DurFull_V5,1,4.587366392953805e-05,float64,True,
T_DurFull_V5_iqr,1,4.587366392953805e-05,float64,True,
PQ_Int_V6_iqr,1,4.587366392953805e-05,float64,True,
PQ_Int_V6,1,4.587366392953805e-05,float64,True,
PQ_Int_V5_iqr,1,4.587366392953805e-05,float64,True,
PQ_Int_V5,1,4.587366392953805e-05,float64,True,
T_DurFull_V6,1,4.587366392953805e-05,float64,True,
PQ_Int_V4_iqr,1,4.587366392953805e-05,float64,True,
PQ_Int_V4,1,4.587366392953805e-05,float64,True,
T_DurFull_V6_iqr,1,4.587366392953805e-05,float64,True,
QT_IntCorr_V4,1,4.587366392953805e-05,float64,True,
QT_IntCorr_V4_iqr,1,4.587366392953805e-05,float64,True,
QT_IntCorr_V5,1,4.587366392953805e-05,float64,True,
QT_IntCorr_V5_iqr,1,4.587366392953805e-05,float64,True,
QT_IntCorr_V6,1,4.587366392953805e-05,float64,True,
QT_IntCorr_V6_iqr,1,4.587366392953805e-05,float64,True,
PR_Int_V6,1,4.587366392953805e-05,float64,True,
QT_Int_V4_iqr,1,4.587366392953805e-05,float64,True,
T_Amp_V4_iqr,1,4.587366392953805e-05,float64,True,
QRS_Dur_V5,1,4.587366392953805e-05,float64,True,
QRS_Dur_V6,1,4.587366392953805e-05,float64,True,
T_Amp_V6,1,4.587366392953805e-05,float64,True,
T_Amp_V6_iqr,1,4.587366392953805e-05,float64,True,
T_Amp_V4,1,4.587366392953805e-05,float64,True,
QRS_Dur_V5_iqr,1,4.587366392953805e-05,float64,True,
T_Amp_V5_iqr,1,4.587366392953805e-05,float64,True,
QRS_Dur_V6_iqr,1,4.587366392953805e-05,float64,True,
T_Amp_V5,1,4.587366392953805e-05,float64,True,
R_Amp_aVL_iqr,0,0.0,float64,True,
R_Amp_II_count,0,0.0,int64,True,
R_Amp_aVL_count,0,0.0,int64,True,
QT_Int_III,0,0.0,float64,True,
R_Amp_III,0,0.0,float64,True,
R_Amp_V3_iqr,0,0.0,float64,True,
R_Amp_III_iqr,0,0.0,float64,True,
R_Amp_III_count,0,0.0,int64,True,
R_Amp_II_iqr,0,0.0,float64,True,
R_Amp_V1_iqr,0,0.0,float64,True,
R_Amp_V1_count,0,0.0,int64,True,
R_Amp_V2,0,0.0,float64,True,
R_Amp_I,0,0.0,float64,True,
QT_Int_III_iqr,0,0.0,float64,True,
R_Amp_V1,0,0.0,float64,True,
R_Amp_II,0,0.0,float64,True,
R_Amp_aVR,0,0.0,float64,True,
QT_Int_I,0,0.0,float64,True,
S_Amp_I_count,0,0.0,int64,True,
S_Amp_I_iqr,0,0.0,float64,True,
S_Amp_I,0,0.0,float64,True,
RR_Mean_Global_count,0,0.0,int64,True,
QT_IntFramingham_Global_iqr,0,0.0,float64,True,
QT_IntFramingham_Global_count,0,0.0,int64,True,
RR_Mean_Global_iqr,0,0.0,float64,True,
QT_Int_I_iqr,0,0.0,float64,True,
QT_Int_II_count,0,0.0,int64,True,
RR_Mean_Global,0,0.0,float64,True,
QT_Int_I_count,0,0.0,int64,True,
QT_Int_II,0,0.0,float64,True,
R_Amp_aVR_count,0,0.0,int64,True,
QT_Int_II_iqr,0,0.0,float64,True,
R_Amp_I_count,0,0.0,int64,True,
R_Amp_aVR_iqr,0,0.0,float64,True,
R_Amp_V2_iqr,0,0.0,float64,True,
QT_Int_V1,0,0.0,float64,True,
S_Amp_II_iqr,0,0.0,float64,True,
