feature,n_pairs,official_nonmissing,recomputed_nonmissing,mean_abs_error,median_abs_error,max_abs_error,allclose_atol_1e_6
PQ_Int_aVL_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_aVR,3,3,3,12.476190476190473,11.428571428571416,16.545454545454533,False
PQ_Int_aVR_iqr,3,3,3,17.333333333333332,14.0,25.0,False
PQ_Int_aVR_count,3,3,3,0.0,0.0,0.0,True
PQ_Int_Global,3,3,3,27.734199134199127,27.80000000000001,44.85714285714283,False
PQ_Int_Global_iqr,3,3,3,14.5,10.0,24.0,False
PQ_Int_Global_count,3,3,3,0.0,0.0,0.0,True
PR_Int_I,3,3,3,21.14285714285714,7.0909090909090935,54.90909090909091,False
PR_Int_I_iqr,3,3,3,17.333333333333332,10.0,41.0,False
PR_Int_I_count,3,3,3,0.0,0.0,0.0,True
PR_Int_II,3,3,3,25.83549783549783,21.818181818181813,46.54545454545453,False
PR_Int_II_iqr,3,3,3,16.0,4.0,43.0,False
PR_Int_II_count,3,3,3,0.0,0.0,0.0,True
PR_Int_III,3,3,3,11.385281385281388,11.27272727272728,15.428571428571445,False
PR_Int_III_iqr,3,3,3,3.3333333333333335,4.0,5.0,False
PR_Int_III_count,3,3,3,0.0,0.0,0.0,True
PR_Int_V1,3,3,3,16.30303030303031,20.0,20.363636363636374,False
PR_Int_V1_iqr,3,3,3,20.333333333333332,23.0,28.0,False
PR_Int_V1_count,3,3,3,0.0,0.0,0.0,True
PR_Int_V2,3,3,3,20.7965367965368,26.545454545454533,27.27272727272728,False
PR_Int_V2_iqr,3,3,3,26.666666666666668,28.0,52.0,False
PR_Int_V2_count,3,3,3,0.0,0.0,0.0,True
PR_Int_V3,3,3,3,14.61471861471862,13.27272727272728,26.0,False
PR_Int_V3_iqr,3,3,3,8.333333333333334,0.0,25.0,False
PR_Int_V3_count,3,3,3,0.0,0.0,0.0,True
PR_Int_V4,3,3,3,13.870129870129867,5.428571428571416,32.18181818181819,False
PR_Int_V4_iqr,3,3,3,20.666666666666668,28.0,33.0,False
PR_Int_V4_count,3,3,3,0.0,0.0,0.0,True
PR_Int_V5,3,3,3,16.848484848484855,14.0,35.45454545454547,False
PR_Int_V5_iqr,3,3,3,12.0,3.0,33.0,False
PR_Int_V5_count,3,3,3,0.0,0.0,0.0,True
PR_Int_V6,3,3,3,14.363636363636365,19.27272727272728,22.0,False
PR_Int_V6_iqr,3,3,3,11.0,8.0,25.0,False
PR_Int_V6_count,3,3,3,0.0,0.0,0.0,True
PR_Int_aVF,3,3,3,35.35064935064937,22.181818181818187,63.14285714285717,False
PR_Int_aVF_iqr,3,3,3,14.0,10.0,23.0,False
PR_Int_aVF_count,3,3,3,0.0,0.0,0.0,True
PR_Int_aVL,3,3,3,29.31601731601731,30.363636363636374,36.85714285714283,False
PR_Int_aVL_iqr,3,3,3,19.0,22.0,27.0,False
PR_Int_aVL_count,3,3,3,0.0,0.0,0.0,True
PR_Int_aVR,3,3,3,13.255411255411255,10.857142857142861,18.363636363636374,False
PR_Int_aVR_iqr,3,3,3,17.333333333333332,17.0,23.0,False
PR_Int_aVR_count,3,3,3,0.0,0.0,0.0,True
PR_Int_Global,3,3,3,29.19740259740261,27.80000000000001,47.428571428571445,False
PR_Int_Global_iqr,3,3,3,15.666666666666666,10.0,27.0,False
PR_Int_Global_count,3,3,3,0.0,0.0,0.0,True
P_Amp_I,3,3,3,0.04024695153384525,0.03889065117150432,0.05300543943987086,False
P_Amp_I_iqr,3,3,3,0.027379450444772427,0.033781889588363784,0.04738061493141135,False
P_Amp_I_count,3,3,3,0.0,0.0,0.0,True
P_Amp_II,3,3,3,0.023535220728173257,0.029788315914580532,0.030033018327233194,False
P_Amp_II_iqr,3,3,3,0.10377636600803954,0.09711854632636224,0.1905613427111133,False
P_Amp_II_count,3,3,3,0.0,0.0,0.0,True
P_Amp_III,3,3,3,0.01814226900168832,0.01674213963481346,0.035803513231153446,False
P_Amp_III_iqr,3,3,3,0.09202412068358944,0.10631040403512859,0.14053838723859247,False
P_Amp_III_count,3,3,3,0.0,0.0,0.0,True
P_Amp_V1,3,3,3,0.03241894831589281,0.024117667103620666,0.06490509910457634,False
P_Amp_V1_iqr,3,3,3,0.026977958198470108,0.022898412393744447,0.05339274885671605,False
P_Amp_V1_count,3,3,3,0.0,0.0,0.0,True
P_Amp_V2,3,3,3,0.046752572229037705,0.02205424536305895,0.10003422156199551,False
P_Amp_V2_iqr,3,3,3,0.04506711360255652,0.06306513620868152,0.06397740868968933,False
P_Amp_V2_count,3,3,3,0.0,0.0,0.0,True
P_Amp_V3,3,3,3,0.04529772107306245,0.0565865220391592,0.0592897294727701,False
P_Amp_V3_iqr,3,3,3,0.053636065757985546,0.037708388380257994,0.10511495533484258,False
P_Amp_V3_count,3,3,3,0.0,0.0,0.0,True
P_Amp_V4,3,3,3,0.052730628606470493,0.041836816662842856,0.09021466065032735,False
P_Amp_V4_iqr,3,3,3,0.05957347179263289,0.038988271763194735,0.13376440328431272,False
P_Amp_V4_count,3,3,3,0.0,0.0,0.0,True
P_Amp_V5,3,3,3,0.022094770972726285,0.016917069926953153,0.03434128581443049,False
P_Amp_V5_iqr,3,3,3,0.048890264116402515,0.03577723564705075,0.08623653980810665,False
P_Amp_V5_count,3,3,3,0.0,0.0,0.0,True
P_Amp_V6,3,3,3,0.01436221082545335,0.003038551254501261,0.039609260838517124,False
P_Amp_V6_iqr,3,3,3,0.06330124907173697,0.06157430007409915,0.07327540367923645,False
P_Amp_V6_count,3,3,3,0.0,0.0,0.0,True
P_Amp_aVF,3,3,3,0.05211519828311858,0.033484404259333814,0.09407495746299396,False
P_Amp_aVF_iqr,3,3,3,0.09271802838786784,0.1212283536233418,0.12315133839930051,False
P_Amp_aVF_count,3,3,3,0.0,0.0,0.0,True
P_Amp_aVL,3,3,3,0.03442459080016585,0.03542381894387002,0.03646487732508,False
P_Amp_aVL_iqr,3,3,3,0.07419268487540781,0.06306573986767139,0.1254629313443636,False
P_Amp_aVL_count,3,3,3,0.0,0.0,0.0,True
P_Amp_aVR,3,3,3,0.015258635594028597,0.01537391827338784,0.01931448667265595,False
P_Amp_aVR_iqr,3,3,3,0.05630099931063129,0.05996969947741673,0.07718931388027048,False
P_Amp_aVR_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_I,3,3,3,17.670995670995676,9.27272727272728,39.45454545454547,False
P_DurFull_I_iqr,3,3,3,19.0,14.0,42.0,False
P_DurFull_I_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_II,3,3,3,19.636363636363637,20.363636363636374,28.545454545454533,False
P_DurFull_II_iqr,3,3,3,20.0,18.0,32.0,False
P_DurFull_II_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_III,3,3,3,4.658008658008659,1.4545454545454675,11.090909090909093,False
P_DurFull_III_iqr,3,3,3,9.0,6.0,16.0,False
P_DurFull_III_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_V1,3,3,3,14.78787878787879,19.27272727272728,20.0,False
P_DurFull_V1_iqr,3,3,3,5.666666666666667,6.0,6.0,False
P_DurFull_V1_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_V2,3,3,3,13.23809523809524,9.27272727272728,24.72727272727272,False
P_DurFull_V2_iqr,3,3,3,18.666666666666668,19.0,33.0,False
P_DurFull_V2_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_V3,3,3,3,15.21212121212121,8.0,30.909090909090907,False
P_DurFull_V3_iqr,3,3,3,10.333333333333334,1.0,30.0,False
P_DurFull_V3_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_V4,3,3,3,21.87012987012987,17.27272727272728,47.428571428571416,False
P_DurFull_V4_iqr,3,3,3,23.333333333333332,27.0,43.0,False
P_DurFull_V4_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_V5,3,3,3,14.10389610389611,4.857142857142861,35.27272727272728,False
P_DurFull_V5_iqr,3,3,3,10.666666666666666,2.0,30.0,False
P_DurFull_V5_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_V6,3,3,3,8.718614718614711,0.5454545454545325,25.428571428571416,False
P_DurFull_V6_iqr,3,3,3,16.666666666666668,22.0,24.0,False
P_DurFull_V6_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_aVF,3,3,3,12.20779220779221,13.714285714285722,16.181818181818187,False
P_DurFull_aVF_iqr,3,3,3,25.333333333333332,23.0,32.0,False
P_DurFull_aVF_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_aVL,3,3,3,15.72294372294373,15.714285714285722,27.454545454545467,False
P_DurFull_aVL_iqr,3,3,3,12.0,12.0,18.0,False
P_DurFull_aVL_count,3,3,3,0.0,0.0,0.0,True
P_DurFull_aVR,3,3,3,12.372294372294382,10.571428571428584,16.181818181818187,False
P_DurFull_aVR_iqr,3,3,3,14.666666666666666,20.0,21.0,False
P_DurFull_aVR_count,3,3,3,0.0,0.0,0.0,True
P_Dur_Global,3,3,3,31.763636363636362,32.19999999999999,54.0,False
P_Dur_Global_iqr,3,3,3,25.333333333333332,27.0,41.0,False
P_Dur_Global_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_I,3,3,3,0.019208994180259512,0.008403900337122877,0.042299454071430355,False
Q_Amp_I_iqr,3,3,3,0.03457498070889825,0.029530009499590826,0.05909194258427515,False
Q_Amp_I_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_II,3,3,3,0.03043787941431844,0.02826102636243858,0.04449758352593752,False
Q_Amp_II_iqr,3,3,3,0.10641673553043468,0.0528409477679418,0.21957276727729544,False
Q_Amp_II_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_III,3,3,3,0.04185054947491148,0.05259767572443178,0.0593575630039178,False
Q_Amp_III_iqr,3,3,3,0.11608294698760241,0.15005715455912172,0.16033164286785745,False
Q_Amp_III_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_V1,3,3,3,0.02207256724091608,0.019596278697414787,0.045304998469433144,False
Q_Amp_V1_iqr,3,3,3,0.024131603887152825,0.017301012546447836,0.04967692854852328,False
Q_Amp_V1_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_V2,3,3,3,0.025023549148017077,0.005424219701993693,0.06644725219449044,False
Q_Amp_V2_iqr,3,3,3,0.03821651416686596,0.037056844371523734,0.053364672531381274,False
Q_Amp_V2_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_V3,3,3,3,0.06176430014358628,0.05562179199208807,0.09315402520374672,False
Q_Amp_V3_iqr,3,3,3,0.06679094075752702,0.026894838438700636,0.15162295890544739,False
Q_Amp_V3_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_V4,3,3,3,0.656533569463167,0.03604390090750902,1.9264463100564246,False
Q_Amp_V4_iqr,3,3,3,0.018693077913743653,0.012079062964957706,0.03240374280974935,False
Q_Amp_V4_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_V5,3,3,3,0.04082634214600293,0.029387618824788353,0.09216795849595658,False
Q_Amp_V5_iqr,3,3,3,0.021497093596043845,0.017977225795621762,0.03793599341708989,False
Q_Amp_V5_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_V6,3,3,3,0.03270689127050461,0.03218607087201361,0.06382095873454557,False
Q_Amp_V6_iqr,3,3,3,0.05239219063634568,0.04292388109010456,0.0774641619083339,False
Q_Amp_V6_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_aVF,3,3,3,0.051607473662717625,0.04887277877214807,0.10220185096009717,False
Q_Amp_aVF_iqr,3,3,3,0.12198993831666322,0.08499786222791395,0.24125686298107676,False
Q_Amp_aVF_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_aVL,3,3,3,0.05122362674664085,0.059399539321024326,0.06107054870151422,False
Q_Amp_aVL_iqr,3,3,3,0.021337994496439475,0.020945198191363774,0.024829720936459715,False
Q_Amp_aVL_count,3,3,3,0.0,0.0,0.0,True
Q_Amp_aVR,3,3,3,0.019010529576237892,0.02437816494691456,0.028790654960095557,False
Q_Amp_aVR_iqr,3,3,3,0.054181426368933173,0.03531085797652037,0.11237902661007312,False
Q_Amp_aVR_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_I,3,3,3,0.7359307359307365,0.5714285714285694,1.6363636363636402,False
QRS_Dur_I_iqr,3,3,3,2.0,2.0,4.0,False
QRS_Dur_I_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_II,3,3,3,2.2510822510822472,0.9090909090909065,5.272727272727266,False
QRS_Dur_II_iqr,3,3,3,1.3333333333333333,1.0,3.0,False
QRS_Dur_II_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_III,3,3,3,1.428571428571426,0.9090909090909065,3.0909090909090935,False
QRS_Dur_III_iqr,3,3,3,10.0,4.0,24.0,False
QRS_Dur_III_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_V1,3,3,3,0.3722943722943768,0.36363636363635976,0.5714285714285836,False
QRS_Dur_V1_iqr,3,3,3,1.0,1.0,2.0,False
QRS_Dur_V1_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_V2,3,3,3,4.883116883116884,3.2727272727272805,10.285714285714278,False
QRS_Dur_V2_iqr,3,3,3,7.0,4.0,15.0,False
QRS_Dur_V2_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_V3,3,3,3,4.493506493506492,4.5454545454545325,6.571428571428584,False
QRS_Dur_V3_iqr,3,3,3,3.6666666666666665,5.0,5.0,False
QRS_Dur_V3_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_V4,3,3,3,4.0,2.5454545454545467,8.0,False
QRS_Dur_V4_iqr,3,3,3,1.0,1.0,1.0,False
QRS_Dur_V4_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_V5,3,3,3,0.4242424242424268,0.36363636363637397,0.9090909090909065,False
QRS_Dur_V5_iqr,3,3,3,1.6666666666666667,2.0,3.0,False
QRS_Dur_V5_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_V6,3,3,3,2.2943722943722995,1.4285714285714306,5.4545454545454675,False
QRS_Dur_V6_iqr,3,3,3,0.6666666666666666,0.0,2.0,False
QRS_Dur_V6_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_aVF,3,3,3,4.891774891774896,5.4545454545454675,6.36363636363636,False
QRS_Dur_aVF_iqr,3,3,3,0.3333333333333333,0.0,1.0,False
QRS_Dur_aVF_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_aVL,3,3,3,0.6493506493506516,0.8571428571428612,0.9090909090909065,False
QRS_Dur_aVL_iqr,3,3,3,2.6666666666666665,3.0,5.0,False
QRS_Dur_aVL_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_aVR,3,3,3,1.6709956709956753,0.7272727272727337,4.0,False
QRS_Dur_aVR_iqr,3,3,3,1.3333333333333333,1.0,2.0,False
QRS_Dur_aVR_count,3,3,3,0.0,0.0,0.0,True
QRS_Dur_Global,3,3,3,4.995670995671001,3.7142857142857224,7.818181818181813,False
QRS_Dur_Global_iqr,3,3,3,13.666666666666666,18.0,20.0,False
QRS_Dur_Global_count,3,3,3,0.0,0.0,0.0,True
QT_IntFramingham_Global,3,3,3,67.72820779220784,86.87309090909099,103.32181818181823,False
QT_IntFramingham_Global_iqr,3,3,3,38.85449999999994,35.34149999999995,56.966499999999996,False
QT_IntFramingham_Global_count,3,3,3,1.0,1.0,1.0,False
QT_Int_I,3,3,3,63.402597402597394,47.636363636363626,104.0,False
QT_Int_I_iqr,3,3,3,45.333333333333336,51.0,59.0,False
QT_Int_I_count,3,3,3,0.0,0.0,0.0,True
QT_Int_II,3,3,3,56.96103896103896,65.42857142857144,89.45454545454544,False
QT_Int_II_iqr,3,3,3,43.666666666666664,44.0,78.0,False
QT_Int_II_count,3,3,3,0.0,0.0,0.0,True
QT_Int_III,3,3,3,216.6060606060606,210.72727272727275,326.0,False
QT_Int_III_iqr,3,3,3,35.666666666666664,39.0,48.0,False
QT_Int_III_count,3,3,3,0.0,0.0,0.0,True
QT_Int_V1,3,3,3,48.04329004329005,18.857142857142833,108.54545454545456,False
QT_Int_V1_iqr,3,3,3,44.666666666666664,39.0,57.0,False
QT_Int_V1_count,3,3,3,0.0,0.0,0.0,True
QT_Int_V2,3,3,3,53.35064935064937,35.14285714285717,122.54545454545456,False
QT_Int_V2_iqr,3,3,3,37.0,36.0,75.0,False
QT_Int_V2_count,3,3,3,0.0,0.0,0.0,True
QT_Int_V3,3,3,3,9.082251082251085,10.181818181818187,15.636363636363626,False
QT_Int_V3_iqr,3,3,3,23.0,20.0,45.0,False
QT_Int_V3_count,3,3,3,0.0,0.0,0.0,True
QT_Int_V4,3,3,3,29.81818181818183,2.727272727272748,84.0,False
QT_Int_V4_iqr,3,3,3,63.333333333333336,78.0,112.0,False
QT_Int_V4_count,3,3,3,0.0,0.0,0.0,True
QT_Int_V5,3,3,3,63.87012987012986,91.42857142857144,95.09090909090907,False
QT_Int_V5_iqr,3,3,3,12.0,12.0,18.0,False
QT_Int_V5_count,3,3,3,0.0,0.0,0.0,True
QT_Int_V6,3,3,3,19.506493506493502,7.090909090909065,49.428571428571445,False
QT_Int_V6_iqr,3,3,3,30.666666666666668,20.0,70.0,False
QT_Int_V6_count,3,3,3,0.0,0.0,0.0,True
QT_Int_aVF,3,3,3,96.85714285714285,104.90909090909093,160.57142857142856,False
QT_Int_aVF_iqr,3,3,3,59.0,31.0,138.0,False
QT_Int_aVF_count,3,3,3,0.0,0.0,0.0,True
QT_Int_aVL,3,3,3,142.44155844155844,116.54545454545456,211.14285714285717,False
QT_Int_aVL_iqr,3,3,3,27.333333333333332,11.0,69.0,False
QT_Int_aVL_count,3,3,3,0.0,0.0,0.0,True
QT_Int_aVR,3,3,3,39.03896103896102,49.090909090909065,50.571428571428555,False
QT_Int_aVR_iqr,3,3,3,48.666666666666664,51.0,62.0,False
QT_Int_aVR_count,3,3,3,0.0,0.0,0.0,True
QT_Int_Global,3,3,3,67.79220779220782,82.90909090909093,94.18181818181819,False
QT_Int_Global_iqr,3,3,3,61.666666666666664,40.0,113.0,False
QT_Int_Global_count,3,3,3,0.0,0.0,0.0,True
R_Amp_I,3,3,3,0.03216758004185253,0.01249669025998923,0.07178908431169284,False
R_Amp_I_iqr,3,3,3,0.04601854147140736,0.03349957061153856,0.07813272388071027,False
R_Amp_I_count,3,3,3,0.0,0.0,0.0,True
R_Amp_II,3,3,3,0.08060155770946136,0.09523921470136631,0.1335337861136705,False
R_Amp_II_iqr,3,3,3,0.1448764168980378,0.11398073027598218,0.2818863506415034,False
R_Amp_II_count,3,3,3,0.0,0.0,0.0,True
R_Amp_III,3,3,3,0.19322065052181361,0.2447882972807519,0.3221101901050377,False
R_Amp_III_iqr,3,3,3,0.23744899838542888,0.10808096103252354,0.5597566401787334,False
R_Amp_III_count,3,3,3,0.0,0.0,0.0,True
R_Amp_V1,3,3,3,0.0832317163285808,0.013442942628908106,0.2329935867696784,False
R_Amp_V1_iqr,3,3,3,0.037655578159213,0.04583840783430433,0.05275595120769967,False
R_Amp_V1_count,3,3,3,0.0,0.0,0.0,True
R_Amp_V2,3,3,3,0.0984996936120492,0.12309808116861254,0.16096759994235388,False
R_Amp_V2_iqr,3,3,3,0.04688240522793934,0.03921635937375173,0.086259299931426,False
R_Amp_V2_count,3,3,3,0.0,0.0,0.0,True
R_Amp_V3,3,3,3,0.08353795738863523,0.04423078526965596,0.1969272304527956,False
R_Amp_V3_iqr,3,3,3,0.06165345045903378,0.030543108930082913,0.14271074378364543,False
R_Amp_V3_count,3,3,3,0.0,0.0,0.0,True
R_Amp_V4,3,3,3,0.9243436027003762,0.03728348477430987,2.7248729464861983,False
R_Amp_V4_iqr,3,3,3,0.03293004660950516,0.02469200886238085,0.06076711808566246,False
R_Amp_V4_count,3,3,3,0.0,0.0,0.0,True
R_Amp_V5,3,3,3,0.06456422235690291,0.027840163861102663,0.1474028522293631,False
R_Amp_V5_iqr,3,3,3,0.06204101211861024,0.056318988551397,0.08281206145166829,False
R_Amp_V5_count,3,3,3,0.0,0.0,0.0,True
R_Amp_V6,3,3,3,0.050132409280046974,0.049670217316992615,0.09195472095502044,False
R_Amp_V6_iqr,3,3,3,0.030856104020821794,0.00575595221871579,0.0817144657312802,False
R_Amp_V6_count,3,3,3,0.0,0.0,0.0,True
R_Amp_aVF,3,3,3,0.14531983067378942,0.11052905705710586,0.3039283921046606,False
R_Amp_aVF_iqr,3,3,3,0.12972161584981642,0.0960010489932219,0.27473994790275375,False
R_Amp_aVF_count,3,3,3,0.0,0.0,0.0,True
R_Amp_aVL,3,3,3,0.021302143980858997,0.027909333935401015,0.03256040322770215,False
R_Amp_aVL_iqr,3,3,3,0.048250725976820195,0.05293279031534674,0.05880143494542654,False
R_Amp_aVL_count,3,3,3,0.0,0.0,0.0,True
R_Amp_aVR,3,3,3,0.04406550107112258,0.022949120466692507,0.09689758816088911,False
R_Amp_aVR_iqr,3,3,3,0.08576473268752578,0.055607359275509236,0.15594316695793833,False
R_Amp_aVR_count,3,3,3,0.0,0.0,0.0,True
RR_Mean_Global,3,3,3,11.393939393939377,8.272727272727252,20.0,False
RR_Mean_Global_iqr,3,3,3,10.166666666666666,7.5,21.0,False
RR_Mean_Global_count,3,3,3,1.0,1.0,1.0,False
S_Amp_I,3,3,3,0.0362617446913485,0.039514309063948594,0.058926049258376856,False
S_Amp_I_iqr,3,3,3,0.03099852171481866,0.02278222932628831,0.06222415992450736,False
S_Amp_I_count,3,3,3,0.0,0.0,0.0,True
S_Amp_II,3,3,3,0.07550076092823646,0.021713304744137674,0.18935810525965657,False
S_Amp_II_iqr,3,3,3,0.14888111245567956,0.12282851195998634,0.2998033456068364,False
S_Amp_II_count,3,3,3,0.0,0.0,0.0,True
S_Amp_III,3,3,3,0.0992844847143158,0.13352651780476987,0.1514005376415288,False
S_Amp_III_iqr,3,3,3,0.16016700875654546,0.1917637281538432,0.2364874885613931,False
S_Amp_III_count,3,3,3,0.0,0.0,0.0,True
S_Amp_V1,3,3,3,0.026671113768143188,0.0061832558125814955,0.06906668951774095,False
S_Amp_V1_iqr,3,3,3,0.053161062553431136,0.04993973929759206,0.09441269871482416,False
S_Amp_V1_count,3,3,3,0.0,0.0,0.0,True
S_Amp_V2,3,3,3,0.018164534976048658,0.009644408764726421,0.04155169617376468,False
S_Amp_V2_iqr,3,3,3,0.025546184761496765,0.010627398351676642,0.05787456625130384,False
S_Amp_V2_count,3,3,3,0.0,0.0,0.0,True
S_Amp_V3,3,3,3,0.05250310293184542,0.005906286467805666,0.14639311253427417,False
S_Amp_V3_iqr,3,3,3,0.053405987755989016,0.06168399592716549,0.08821347540818136,False
S_Amp_V3_count,3,3,3,0.0,0.0,0.0,True
S_Amp_V4,3,3,3,0.17885871144091015,0.009534064716317098,0.520416697104264,False
S_Amp_V4_iqr,3,3,3,0.06326552652663461,0.029447538536042428,0.14964527190475177,False
S_Amp_V4_count,3,3,3,0.0,0.0,0.0,True
S_Amp_V5,3,3,3,0.0500668381547297,0.014832027838863629,0.13342216178303168,False
S_Amp_V5_iqr,3,3,3,0.03228953586264445,0.023235704155113265,0.06948866240514276,False
S_Amp_V5_count,3,3,3,0.0,0.0,0.0,True
S_Amp_V6,3,3,3,0.04451053243627884,0.03494655627818334,0.07112446870096578,False
S_Amp_V6_iqr,3,3,3,0.05544837537587095,0.06007097556183884,0.08175709979390963,False
S_Amp_V6_count,3,3,3,0.0,0.0,0.0,True
S_Amp_aVF,3,3,3,0.03590501608381508,0.032857057397831284,0.04378616802491785,False
S_Amp_aVF_iqr,3,3,3,0.1504918311407177,0.16523547420385304,0.2769150791566499,False
S_Amp_aVF_count,3,3,3,0.0,0.0,0.0,True
S_Amp_aVL,3,3,3,0.05738115812213059,0.03177071780990347,0.13184545475886736,False
S_Amp_aVL_iqr,3,3,3,0.08347239157555887,0.059041362252212286,0.16419576687928863,False
S_Amp_aVL_count,3,3,3,0.0,0.0,0.0,True
S_Amp_aVR,3,3,3,0.017802697923477256,0.010717937442267844,0.040014226262397645,False
S_Amp_aVR_iqr,3,3,3,0.05862998333942707,0.052660210325484666,0.10093399771301684,False
S_Amp_aVR_count,3,3,3,0.0,0.0,0.0,True
T_Amp_I,3,3,3,0.10094363437271414,0.042421423769390704,0.2514429060577791,False
T_Amp_I_iqr,3,3,3,0.029044109363904124,0.03814368660940656,0.04549952425643589,False
T_Amp_I_count,3,3,3,0.0,0.0,0.0,True
T_Amp_II,3,3,3,0.1034409599052537,0.022730205204101323,0.2853087792658584,False
T_Amp_II_iqr,3,3,3,0.07683024621825257,0.05392761606899893,0.1344742472297142,False
T_Amp_II_count,3,3,3,0.0,0.0,0.0,True
T_Amp_III,3,3,3,0.019224283956585094,0.020689070020916252,0.0218605901985124,False
T_Amp_III_iqr,3,3,3,0.1366876545136656,0.17341410936300486,0.19320340836156946,False
T_Amp_III_count,3,3,3,0.0,0.0,0.0,True
T_Amp_V1,3,3,3,0.013876167536922843,0.01581413440398674,0.024316184954827985,False
T_Amp_V1_iqr,3,3,3,0.05581599483420253,0.03200222912492497,0.1194252021105999,False
T_Amp_V1_count,3,3,3,0.0,0.0,0.0,True
T_Amp_V2,3,3,3,0.08219503262500714,0.08505217523230456,0.13335164733565152,False
