subset_name,rank,feature_name
concordance_138,1,PQ_Int_I_count
concordance_138,2,PQ_Int_II_count
concordance_138,3,PQ_Int_III_count
concordance_138,4,PQ_Int_V1_count
concordance_138,5,PQ_Int_V2_count
concordance_138,6,PQ_Int_V3_count
concordance_138,7,PQ_Int_V4_count
concordance_138,8,PQ_Int_V5_count
concordance_138,9,PQ_Int_V6_count
concordance_138,10,PQ_Int_aVF_count
concordance_138,11,PQ_Int_aVL_count
concordance_138,12,PQ_Int_aVR_count
concordance_138,13,PQ_Int_Global_count
concordance_138,14,PR_Int_I_count
concordance_138,15,PR_Int_II_count
concordance_138,16,PR_Int_III_count
concordance_138,17,PR_Int_V1_count
concordance_138,18,PR_Int_V2_count
concordance_138,19,PR_Int_V3_count
concordance_138,20,PR_Int_V4_count
concordance_138,21,PR_Int_V5_count
concordance_138,22,PR_Int_V6_count
concordance_138,23,PR_Int_aVF_count
concordance_138,24,PR_Int_aVL_count
concordance_138,25,PR_Int_aVR_count
concordance_138,26,PR_Int_Global_count
concordance_138,27,P_Amp_I_count
concordance_138,28,P_Amp_II_count
concordance_138,29,P_Amp_III_count
concordance_138,30,P_Amp_V1_count
concordance_138,31,P_Amp_V2_count
concordance_138,32,P_Amp_V3_count
concordance_138,33,P_Amp_V4_count
concordance_138,34,P_Amp_V5_count
concordance_138,35,P_Amp_V6_count
concordance_138,36,P_Amp_aVF_count
concordance_138,37,P_Amp_aVL_count
concordance_138,38,P_Amp_aVR_count
concordance_138,39,P_DurFull_I_count
concordance_138,40,P_DurFull_II_count
concordance_138,41,P_DurFull_III_count
concordance_138,42,P_DurFull_V1_count
concordance_138,43,P_DurFull_V2_count
concordance_138,44,P_DurFull_V3_count
concordance_138,45,P_DurFull_V4_count
concordance_138,46,P_DurFull_V5_count
concordance_138,47,P_DurFull_V6_count
concordance_138,48,P_DurFull_aVF_count
concordance_138,49,P_DurFull_aVL_count
concordance_138,50,P_DurFull_aVR_count
concordance_138,51,P_Dur_Global_count
concordance_138,52,Q_Amp_I_count
concordance_138,53,Q_Amp_II_count
concordance_138,54,Q_Amp_III_count
concordance_138,55,Q_Amp_V1_count
concordance_138,56,Q_Amp_V2_count
concordance_138,57,Q_Amp_V3_count
concordance_138,58,Q_Amp_V4_count
concordance_138,59,Q_Amp_V5_count
concordance_138,60,Q_Amp_V6_count
concordance_138,61,Q_Amp_aVF_count
concordance_138,62,Q_Amp_aVL_count
concordance_138,63,Q_Amp_aVR_count
concordance_138,64,QRS_Dur_I_count
concordance_138,65,QRS_Dur_II_count
concordance_138,66,QRS_Dur_III_count
concordance_138,67,QRS_Dur_V1_count
concordance_138,68,QRS_Dur_V2_count
concordance_138,69,QRS_Dur_V3_count
concordance_138,70,QRS_Dur_V4_count
concordance_138,71,QRS_Dur_V5_count
concordance_138,72,QRS_Dur_V6_count
concordance_138,73,QRS_Dur_aVF_count
concordance_138,74,QRS_Dur_aVL_count
concordance_138,75,QRS_Dur_aVR_count
concordance_138,76,QRS_Dur_Global_count
concordance_138,77,QT_Int_I_count
concordance_138,78,QT_Int_II_count
concordance_138,79,QT_Int_III_count
concordance_138,80,QT_Int_V1_count
concordance_138,81,QT_Int_V2_count
concordance_138,82,QT_Int_V3_count
concordance_138,83,QT_Int_V4_count
concordance_138,84,QT_Int_V5_count
concordance_138,85,QT_Int_V6_count
concordance_138,86,QT_Int_aVF_count
concordance_138,87,QT_Int_aVL_count
concordance_138,88,QT_Int_aVR_count
concordance_138,89,QT_Int_Global_count
concordance_138,90,R_Amp_I_count
concordance_138,91,R_Amp_II_count
concordance_138,92,R_Amp_III_count
concordance_138,93,R_Amp_V1_count
concordance_138,94,R_Amp_V2_count
concordance_138,95,R_Amp_V3_count
concordance_138,96,R_Amp_V4_count
concordance_138,97,R_Amp_V5_count
concordance_138,98,R_Amp_V6_count
concordance_138,99,R_Amp_aVF_count
concordance_138,100,R_Amp_aVL_count
concordance_138,101,R_Amp_aVR_count
concordance_138,102,S_Amp_I_count
concordance_138,103,S_Amp_II_count
concordance_138,104,S_Amp_III_count
concordance_138,105,S_Amp_V1_count
concordance_138,106,S_Amp_V2_count
concordance_138,107,S_Amp_V3_count
concordance_138,108,S_Amp_V4_count
concordance_138,109,S_Amp_V5_count
concordance_138,110,S_Amp_V6_count
concordance_138,111,S_Amp_aVF_count
concordance_138,112,S_Amp_aVL_count
concordance_138,113,S_Amp_aVR_count
concordance_138,114,T_Amp_I_count
concordance_138,115,T_Amp_II_count
concordance_138,116,T_Amp_III_count
concordance_138,117,T_Amp_V1_count
concordance_138,118,T_Amp_V2_count
concordance_138,119,T_Amp_V3_count
concordance_138,120,T_Amp_V4_count
concordance_138,121,T_Amp_V5_count
concordance_138,122,T_Amp_V6_count
concordance_138,123,T_Amp_aVF_count
concordance_138,124,T_Amp_aVL_count
concordance_138,125,T_Amp_aVR_count
concordance_138,126,T_DurFull_I_count
concordance_138,127,T_DurFull_II_count
concordance_138,128,T_DurFull_III_count
concordance_138,129,T_DurFull_V1_count
concordance_138,130,T_DurFull_V2_count
concordance_138,131,T_DurFull_V3_count
concordance_138,132,T_DurFull_V4_count
concordance_138,133,T_DurFull_V5_count
concordance_138,134,T_DurFull_V6_count
concordance_138,135,T_DurFull_aVF_count
concordance_138,136,T_DurFull_aVL_count
concordance_138,137,T_DurFull_aVR_count
concordance_138,138,T_Dur_Global_count
random_138_seed2026,1,HA__Global_iqr
random_138_seed2026,2,PQ_Int_Global_iqr
random_138_seed2026,3,PQ_Int_I
random_138_seed2026,4,PQ_Int_II_count
random_138_seed2026,5,PQ_Int_I_iqr
random_138_seed2026,6,PQ_Int_V1_iqr
random_138_seed2026,7,PQ_Int_V3_count
random_138_seed2026,8,PQ_Int_V4_iqr
random_138_seed2026,9,PQ_Int_aVL
random_138_seed2026,10,PQ_Int_aVL_iqr
random_138_seed2026,11,PR_Int_Global
random_138_seed2026,12,PR_Int_I
random_138_seed2026,13,PR_Int_I_iqr
random_138_seed2026,14,PR_Int_V1
random_138_seed2026,15,PR_Int_V1_count
random_138_seed2026,16,PR_Int_V1_iqr
random_138_seed2026,17,PR_Int_V6
random_138_seed2026,18,PR_Int_aVF_count
random_138_seed2026,19,PR_Int_aVF_iqr
random_138_seed2026,20,PR_Int_aVL_iqr
random_138_seed2026,21,PR_Int_aVR
random_138_seed2026,22,PR_Int_aVR_iqr
random_138_seed2026,23,P_Amp_V1
random_138_seed2026,24,P_Amp_V2_count
random_138_seed2026,25,P_Amp_V2_iqr
random_138_seed2026,26,P_Amp_V3_count
random_138_seed2026,27,P_Amp_V4_count
random_138_seed2026,28,P_Amp_aVL_count
random_138_seed2026,29,P_DurFull_II_count
random_138_seed2026,30,P_DurFull_II_iqr
random_138_seed2026,31,P_DurFull_V1
random_138_seed2026,32,P_DurFull_V1_count
random_138_seed2026,33,P_DurFull_V5
random_138_seed2026,34,P_DurFull_aVF_count
random_138_seed2026,35,P_DurFull_aVL_count
random_138_seed2026,36,P_DurFull_aVL_iqr
random_138_seed2026,37,P_DurFull_aVR_count
random_138_seed2026,38,P_DurFull_aVR_iqr
random_138_seed2026,39,P_Dur_Global_iqr
random_138_seed2026,40,P_Morph_III
random_138_seed2026,41,P_Morph_II_iqr
random_138_seed2026,42,P_Morph_V1
random_138_seed2026,43,P_Morph_V3
random_138_seed2026,44,P_Morph_V6_iqr
random_138_seed2026,45,P_Morph_aVL_count
random_138_seed2026,46,P_Morph_aVL_iqr
random_138_seed2026,47,P_Morph_aVR
random_138_seed2026,48,P_Morph_aVR_count
random_138_seed2026,49,QRS_Dur_Global
random_138_seed2026,50,QRS_Dur_Global_count
random_138_seed2026,51,QRS_Dur_II
random_138_seed2026,52,QRS_Dur_III_iqr
random_138_seed2026,53,QRS_Dur_II_iqr
random_138_seed2026,54,QRS_Dur_V1_count
random_138_seed2026,55,QRS_Dur_V2_count
random_138_seed2026,56,QRS_Dur_V4
random_138_seed2026,57,QRS_Dur_V5_iqr
random_138_seed2026,58,QRS_Dur_aVF_count
random_138_seed2026,59,QRS_Dur_aVF_iqr
random_138_seed2026,60,QRS_Dur_aVR
random_138_seed2026,61,QRS_Dur_aVR_iqr
random_138_seed2026,62,QT_IntCorr_II
random_138_seed2026,63,QT_IntCorr_III
random_138_seed2026,64,QT_IntCorr_II_iqr
random_138_seed2026,65,QT_IntCorr_I_count
random_138_seed2026,66,QT_IntCorr_V1
random_138_seed2026,67,QT_IntCorr_V2_count
random_138_seed2026,68,QT_IntCorr_V3
random_138_seed2026,69,QT_IntCorr_V4
random_138_seed2026,70,QT_IntCorr_V5
random_138_seed2026,71,QT_IntCorr_aVF
random_138_seed2026,72,QT_IntCorr_aVF_iqr
random_138_seed2026,73,QT_IntCorr_aVL
